Opponent team,Toss win,Pitch,Score,WON=1/LOST=0
Lahore Qalandars,WIN,NORMAL,131,1
Quetta Gladiators,LOSS,NORMAL,147,0
Islamabad United,WIN,DUSTY,130,0
Peshawar Zalmi,LOSS,NORMAL,179,0
Lahore Qalandars,LOSS,DUSTY,178,1
Quetta Gladiators,WIN,NORMAL,127,0
Islamabad United,LOSS,DRY,128,0
Peshawar Zalmi,WIN,HARD,158,0
Islamabad United,LOSS,NORMAL,111,0
Peshawar Zalmi,LOSS,NORMAL,118,0
Quetta Gladiators,LOSS,NORMAL,159,0
Lahore Qalandars,WIN,DRY,172,0
Islamabad United,WIN,NORMAL,75,1
Peshawar Zalmi,LOSS,NORMAL,174,1
Quetta Gladiators,LOSS,DRY,154,0
Lahore Qalandars,WIN,NORMAL,158,1
Islamabad United,WIN,NORMAL,127,1
Islamabad United,LOSS,DRY,126,1
Peshawar Zalmi,WIN,DRY,157,1
Quetta Gladiators,WIN,NORMAL,149,1
Peshawar Zalmi,LOSS,NORMAL,135,1
Lahore Qalandars,WIN,DRY,159,1
Islamabad United,LOSS,DRY,153,0
Quetta Gladiators,WIN,NORMAL,113,0
Multan Sultans,LOSS,NORMAL,188,1
Lahore Qalandars,LOSS,NORMAL,163,0
Multan Sultans,WIN,DRY,183,1
Lahore Qalandars,WIN,DRY,116,0
Peshawar Zalmi,WIN,NORMAL,109,0
Islamabad United,LOSS,NORMAL,143,0
Quetta Gladiators,WIN,NORMAL,188,1
Islamabad United,LOSS,NORMAL,168,0
Lahore Qalandars,WIN,NORMAL,134,1
Multan Sultans,WIN,NORMAL,120,1
Quetta Gladiators,LOSS,DRY,190,1
Peshawar Zalmi,WIN,NORMAL,142,0
Islamabad United,WIN,DRY,161,0
Peshawar Zalmi,LOSS,NORMAL,201,1
Quetta Gladiators,WIN,DUSTY,156,0
Multan Sultans,WIN,DUSTY,134,0
Islamabad United,WIN,NORMAL,187,1
Peshawar Zalmi,WIN,NORMAL,152,1
Lahore Qalandars,LOSS,NORMAL,187,0
