Opponent,Date,Toss win,Batting First,Bowling First,Weather,Pitch,Score,WON=1/LOST=0
Lahore Qalandars,05/02/2016,WIN,NO,YES,Sunny,NORMAL,131,1
Quetta Gladiators,06/02/2016,LOSS,YES,NO,Sunny,NORMAL,147,0
Islamabad United,07/02/2016,WIN,NO,YES,Clear,DUSTY,130,0
Peshawar Zalmi,11/02/2016,LOSS,NO,YES,SUNNY,NORMAL,179,0
Lahore Qalandars,12/02/2016,LOSS,YES,NO,SUNNY,DUSTY,178,1
Quetta Gladiators,13/02/2016,WIN,YES,NO,Clear,NORMAL,127,0
Islamabad United,14/02/2016,LOSS,YES,NO,SUNNY,DRY,128,0
Peshawar Zalmi,17/02/2016,WIN,YES,NO,Clear,HARD,158,0
Islamabad United,20/02/2016,LOSS,YES,NO,FOGGY,NORMAL,111,0
Peshawar Zalmi,10/02/2017,LOSS,YES,NO,Clear,NORMAL,118,0
Quetta Gladiators,11/02/2017,LOSS,YES,NO,Clear,NORMAL,159,0
Lahore Qalandars,16/02/2017,WIN,NO,YES,Sunny,DRY,172,0
Islamabad United,17/02/2017,WIN,NO,YES,Clear,NORMAL,75,1
Peshawar Zalmi,19/02/2017,LOSS,YES,NO,Sunny,NORMAL,174,1
Quetta Gladiators,23/02/2017,LOSS,YES,NO,Sunny,DRY,154,0
Lahore Qalandars,25/02/2017,WIN,NO,YES,Clear,NORMAL,158,1
Islamabad United,26/02/2017,WIN,NO,YES,Clear,NORMAL,127,1
Islamabad United,01/03/2017,LOSS,YES,NO,Sunny,DRY,126,1
Peshawar Zalmi,03/03/2017,WIN,NO,YES,Sunny,DRY,157,1
Quetta Gladiators,23/02/2018,WIN,YES,NO,Clear,NORMAL,149,1
Peshawar Zalmi,25/02/2018,LOSS,NO,YES,Clear,NORMAL,135,1
Lahore Qalandars,26/02/2018,WIN,YES,NO,Sunny,DRY,159,1
Islamabad United,04/03/2018,LOSS,YES,NO,Sunny,DRY,153,0
Quetta Gladiators,08/03/2018,WIN,NO,YES,Clear,NORMAL,113,0
Multan Sultans,10/03/2018,LOSS,YES,NO,Clear,NORMAL,188,1
Lahore Qalandars,11/03/2018,LOSS,YES,NO,Clear,NORMAL,163,0
Multan Sultans,15/02/2019,WIN,YES,NO,Sunny,DRY,183,1
Lahore Qalandars,16/02/2019,WIN,NO,YES,Sunny,DRY,116,0
Peshawar Zalmi,21/02/2019,WIN,NO,YES,Sunny,NORMAL,109,0
Islamabad United,23/02/2019,LOSS,YES,NO,Clear,NORMAL,143,0
Quetta Gladiators,24/02/2019,WIN,NO,YES,Clear,NORMAL,188,1
Islamabad United,27/02/2019,LOSS,YES,NO,Clear,NORMAL,168,0
Lahore Qalandars,28/02/2019,WIN,NO,YES,FOGGY,NORMAL,134,1
Multan Sultans,04/03/2019,WIN,NO,YES,Clear,NORMAL,120,1
Quetta Gladiators,10/03/2019,LOSS,YES,NO,Sunny,DRY,190,1
Peshawar Zalmi,11/03/2019,WIN,NO,YES,Sunny,NORMAL,142,0
Islamabad United,14/03/2019,WIN,YES,NO,Clear,DRY,161,0
Peshawar Zalmi,21/02/2020,LOSS,YES,NO,Clear,NORMAL,201,1
Quetta Gladiators,23/02/2020,WIN,YES,NO,Sunny,DUSTY,156,0
Multan Sultans,28/02/2020,WIN,NO,YES,Sunny,DUSTY,134,0
Islamabad United,01/03/2020,WIN,NO,YES,Clear,NORMAL,187,1
Peshawar Zalmi,02/03/2020,WIN,NO,YES,Clear,NORMAL,152,1
Lahore Qalandars,08/03/2020,LOSS,YES,NO,Sunny,NORMAL,187,0
